strain,N_bovin,ID_bovin,IVM_formulation,DAI,Total,Death,prop_dead,days
VK5,1,B122,mdc-STM-001,2,41,32,0.780487805,4
VK5,2,B126,mdc-STM-001,2,41,39,0.951219512,4
VK5,3,B128,mdc-STM-001,2,39,39,1,4
VK5,4,B332,mdc-STM-001,2,40,38,0.95,4
VK5,5,B335,mdc-STM-001,2,41,39,0.951219512,4
VK5,1,B122,mdc-STM-001,7,39,36,0.923076923,4
VK5,2,B126,mdc-STM-001,7,40,35,0.875,4
VK5,3,B128,mdc-STM-001,7,40,40,1,4
VK5,4,B332,mdc-STM-001,7,37,32,0.864864865,4
VK5,5,B335,mdc-STM-001,7,40,38,0.95,4
VK5,1,B122,mdc-STM-001,17,40,33,0.825,4
VK5,2,B126,mdc-STM-001,17,39,34,0.871794872,4
VK5,3,B128,mdc-STM-001,17,39,37,0.948717949,4
VK5,4,B332,mdc-STM-001,17,40,34,0.85,4
VK5,5,B335,mdc-STM-001,17,39,38,0.974358974,4
VK5,1,B122,mdc-STM-001,21,40,37,0.925,4
VK5,2,B126,mdc-STM-001,21,41,33,0.804878049,4
VK5,3,B128,mdc-STM-001,21,40,38,0.95,4
VK5,4,B332,mdc-STM-001,21,40,38,0.95,4
VK5,5,B335,mdc-STM-001,21,41,35,0.853658537,4
VK5,1,B122,mdc-STM-001,28,41,35,0.853658537,4
VK5,2,B126,mdc-STM-001,28,40,38,0.95,4
VK5,3,B128,mdc-STM-001,28,38,33,0.868421053,4
VK5,4,B332,mdc-STM-001,28,38,29,0.763157895,4
VK5,5,B335,mdc-STM-001,28,41,38,0.926829268,4
VK5,1,B122,mdc-STM-001,42,40,36,0.9,4
VK5,2,B126,mdc-STM-001,42,39,30,0.769230769,4
VK5,3,B128,mdc-STM-001,42,41,27,0.658536585,4
VK5,4,B332,mdc-STM-001,42,41,25,0.609756098,4
VK5,5,B335,mdc-STM-001,42,40,33,0.825,4
VK5,1,B122,mdc-STM-001,56,40,34,0.85,4
VK5,2,B126,mdc-STM-001,56,39,30,0.769230769,4
VK5,3,B128,mdc-STM-001,56,41,29,0.707317073,4
VK5,4,B332,mdc-STM-001,56,41,17,0.414634146,4
VK5,5,B335,mdc-STM-001,56,38,26,0.684210526,4
VK5,1,B122,mdc-STM-001,70,40,27,0.675,4
VK5,2,B126,mdc-STM-001,70,39,21,0.538461538,4
VK5,3,B128,mdc-STM-001,70,39,11,0.282051282,4
VK5,4,B332,mdc-STM-001,70,40,15,0.375,4
VK5,5,B335,mdc-STM-001,70,38,14,0.368421053,4
VK5,1,B122,mdc-STM-001,84,41,33,0.804878049,4
VK5,2,B126,mdc-STM-001,84,42,7,0.166666667,4
VK5,3,B128,mdc-STM-001,84,41,4,0.097560976,4
VK5,4,B332,mdc-STM-001,84,40,13,0.325,4
VK5,5,B335,mdc-STM-001,84,40,8,0.2,4
VK5,1,B122,mdc-STM-001,91,40,27,0.675,4
VK5,2,B126,mdc-STM-001,91,40,16,0.4,4
VK5,3,B128,mdc-STM-001,91,40,5,0.125,4
VK5,4,B332,mdc-STM-001,91,38,14,0.368421053,4
VK5,5,B335,mdc-STM-001,91,40,7,0.175,4
VK5,1,B122,mdc-STM-001,98,39,23,0.58974359,4
VK5,2,B126,mdc-STM-001,98,40,14,0.35,4
VK5,3,B128,mdc-STM-001,98,40,0,0,4
